대상연도,사업소명,성과지표명,단위,영향인자
2017,017,차량용 에너지 사용량,TJ,외기온도
2017,009,총에너지 사용량,TJ/년,"공급량, 외기온도, 난방도일, 냉방도일"
2017,009,설비용 에너지사용량,TJ/년,"공급량, 외기온도, 주배관온도"
2017,009,건물용 에너지사용량,TJ/년,"난방도일, 냉방도일, 외기온도"
2017,009,차량용 에너지사용량,TJ/년,외기온도
2017,004,사업장 생산량 대비 에너지,TJ/천톤,
2018,010,사업장 천제 EnPI,TJ/천톤,
2018,010,설비용 EnPI,TJ/천톤,"생산(판매)량, 외기온도"
2018,010,건물용 EnPI,TJ,"냉방도일, 난방도일"
2018,010,차량용 EnPI,TJ,평균사용량
2019,009,원단위,TJ/천톤,"외기온도, 천연가스 판매량"
2020,019,원단위,TJ/천톤,"생산량, 에너지사용량"
2020,019,총 에너지 사용량,TJ,생산량
2021,004,총 에너지 사용량,TJ,"생산량, 외기온도, 해수온도, ORV송출능력"
2021,004,설비용 에너지 사용량,TJ,"생산량, 외기온도, 해수온도, ORV송출능력 "
2021,004,건물용 에너지 사용량,TJ,"냉방도일, 난방도일"
2021,004,차량용 에너지 사용량,TJ,
2021,007,총 에너지 사용량,TJ,"판매량,외기온도,난방도일,냉방도일,주배관온도"
2021,007,설비용 에너지 사용량,TJ,"판매량,주배관온도,외기온도"
2021,007,건물용 에너지 사용량,TJ,"외기온도,난방도일,냉방도일"
2021,007,차량용 에너지 사용량,TJ,외기온도
2021,005,총 에너지사용량,TJ,"생산량, 외기온도, 주배관온도, 냉난방일수"
2021,005,설비용 에너지사용량,TJ,"생산량, 외기온도, 주배관온도"
2021,005,건물용 에너지사용량,TJ,"외기온도, 냉난방일수"
2021,005,차량용 에너지사용량,TJ,외기온도
2022,018,설비용 EnPI,TJ,"외기온도, 해수온도, 생산량"
2022,018,건물용 EnPI,TJ,"외기온도, 냉난방일수"
2022,018,차량용 EnPI,TJ,"현장점검 및 출동, 출장"
2014,012,차량에너지사용량,TJ/년,외기온도
2014,009,총에너지 사용량,TJ,"생산량(판매량), 외기온도, 난방도일"
2014,009,설비용 에너지 사용량,TJ,"생산량(판매량), 외기온도"
2014,009,건물용 에너지 사용량,TJ,난방도일
2014,009,차량용 에너지 사용량,TJ,
2015,009,총에너지 사용량,TJ/년,"공급량, 외기온도, 난방도일, 냉방도일, 주배관온도"
2015,009,설비용 에너지 사용량,TJ/년,"공급량, 외기온도, 주배관온도"
2015,009,건물용 에너지 사용량,TJ/년,"난방도일, 냉방도일, 외기온도"
2015,009,차량용 에너지 사용량,TJ/년,외기온도
2015,012,총에너지사용량,TJ/년,"설비, 건물, 차량의 총에너지 사용량의 합"
2015,012,건물에너지사용량,TJ/년,"난방도일, 냉방도일, 외기온도"
2015,012,설비에너지사용량,TJ/년,"주배관온도, 외기온도, 공급량"
2015,012,차량에너지사용량,TJ/년,외기온도
2015,006,총 에너지 사용량,TJ,"외기온도, 냉방도일, 난방도일"
2015,006,설비용 에너지 사용량,TJ,외기온도
